StateGroup;;Session;Session;Session;Session;Session;Session;Session;Session;Session;SecurityAccess;SecurityAccess;SecurityAccess;SecurityAccess;SecurityAccess
11 01;ER_STEUERGERAETE_RESET;DEFAULT_SESSION_APP;(no);DEFAULT_SESSION_APP;DEFAULT_SESSION_APP;DEFAULT_SESSION_APP;DEFAULT_SESSION_APP;DEFAULT_SESSION_APP;DEFAULT_SESSION_APP;DEFAULT_SESSION_APP;LOCKED;LOCKED;LOCKED;LOCKED;LOCKED
27 01;SA_SA_01_REQUEST_SEED;(no);(no);(no);(no);(yes);(no);(no);(no);(no);(yes);(yes);(yes);(yes);(yes)
27 02;SA_SA_02_SEND_KEY;(no);(no);(no);(no);(yes);(no);(no);(no);(no);UNLOCKED_LVL_1;UNLOCKED_LVL_1;UNLOCKED_LVL_1;UNLOCKED_LVL_1;UNLOCKED_LVL_1
27 11;SA_SA_11_REQUEST_SEED;(no);(yes);(no);(no);(no);(no);(no);(no);(no);(yes);(yes);(yes);(yes);(yes)
27 12;SA_SA_12_SEND_KEY;(no);(yes);(no);(no);(no);(no);(no);(no);(no);UNLOCKED_LVL_11;UNLOCKED_LVL_11;UNLOCKED_LVL_11;UNLOCKED_LVL_11;UNLOCKED_LVL_11
27 15;SA_SA_15_REQUEST_SEED;(no);(yes);(no);(no);(no);(no);(no);(no);(no);(yes);(yes);(yes);(yes);(yes)
27 16;SA_SA_16_SEND_KEY;(no);(yes);(no);(no);(no);(no);(no);(no);(no);UNLOCKED_LVL_15;UNLOCKED_LVL_15;UNLOCKED_LVL_15;UNLOCKED_LVL_15;UNLOCKED_LVL_15
27 5F;SA_SA_5F_REQUEST_SEED;(no);(yes);(no);(no);(no);(no);(no);(no);(no);(yes);(yes);(yes);(yes);(yes)
27 60;SA_SA_60_SEND_KEY;(no);(yes);(no);(no);(no);(no);(no);(no);(no);UNLOCKED_LVL_5F;UNLOCKED_LVL_5F;UNLOCKED_LVL_5F;UNLOCKED_LVL_5F;UNLOCKED_LVL_5F
3E 00;TP_DIAGNOSE_AUFRECHT;(yes);(yes);(yes);(yes);(yes);(yes);(yes);(yes);(yes);(yes);(yes);(yes);(yes);(yes)
